id,title,content,content_more,latitude,longitude,maplink,address,monday,tuesday,wednesday,thursday,friday ,saturday,sunday,contact,category,fee,in_outDoor,rating,website_link,photo_main,is_published,published_date,user
1,George Town,"George Town, the capital of Penang, is a UNESCO World Heritage Site renowned for its rich historical tapestry. Its streets are a vibrant blend of colonial architecture, traditional shophouses, and cultural landmarks. As you wa","nder through the city, youâ€™ll encounter a variety of murals that reflect local stories and traditions, alongside bustling markets and street food stalls. This dynamic urban environment celebrates the coexistence of diverse cultures, making George Town a living testament to Penangâ€™s multicultural identity.",5.4141,100.3285,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d63553.16499015559!2d100.30934649999999!3d5.4058798999999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac397ad2b7bd5%3A0x239ae45978a9b934!2sGeorge%20Town%2C%20Penang!5e0!3m2!1sen!2smy!4v1729918399523!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","George Town, Penang",Open,Open,Open,Open,Open,Open,Open,-,Cultural Heritage,Free,Outdoor,4,-,https://onpenang.com/wp-content/uploads/2024/05/George-town-walking-tour-FG-1.jpg ,1,26/10/2024 14:55,1
2,Cheong Fatt Tze - The Blue Mansion,"Known as the ""Blue Mansion,"" Cheong Fatt Tze Mansion is a remarkable example of 19th-century Chinese architecture. Once home to a wealthy merchant, this stunning structure showcases the fusion of Eastern and Western design ele","ments, with its beautiful courtyards, intricate woodwork, and colorful tiles. Guided tours provide insights into the mansionâ€™s history, revealing the life of its former residents and the cultural exchanges that shaped Penang. The mansion stands as a symbol of the islandâ€™s rich historical narrative.",5.420683,100.3337,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.9705140178735!2d100.33489340000001!3d5.4214508!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac39a6f4f9d25%3A0xd4f61aa620458d0!2sCheong%20Fatt%20Tze%2C%20The%20Blue%20Mansion!5e0!3m2!1sen!2smy!4v1729918449791!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","14, Lebuh Leith, George Town, 10200 George Town, Pulau Pinang",11:00 am–2:00 pm,11:00 am–2:00 pm,11:00 am–2:00 pm,11:00 am–2:00 pm,11:00 am–2:00 pm,11:00 am–2:00 pm,11:00 am–2:00 pm,04-262 0006,Cultural Heritage,Entrance Fee for tour: RM 25 per person,Indoor&Outdoor,4.4,-,https://mypenang.gov.my/uploads/directory/2/cover/the-blue-mansion.jpg,1,28/10/2024 14:55,1
3,Dhammikarama Burmese Temple,"The Burmese Temple, or Dhammikarama Burmese Temple, is a tranquil space dedicated to Buddhist practices. This temple features a stunning pagoda and intricate sculptures that depict various aspects of Buddhist culture. The sere","ne atmosphere invites reflection and meditation, making it a beloved spot for both locals and visitors. The temple showcases the diverse religious landscape of Penang and highlights the contributions of the Burmese community to the islandâ€™s cultural heritage.",5.430993,100.3137,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.906302417959!2d100.3140583!3d5.431201800000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac30785882b4f%3A0x4c7ae814740a959c!2sDhammikarama%20Burmese%20Temple!5e0!3m2!1sen!2smy!4v1729918509498!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","24, Jalan Burma, Pulau Tikus, 10250 George Town, Pulau Pinang",10:00 am–5:00 pm,10:00 am–5:00 pm,10:00 am–5:00 pm,10:00 am–5:00 pm,10:00 am–5:00 pm,10:00 am–5:00 pm,10:00 am–5:00 pm,04-226 9575,Cultural Heritage,Free,Indoor&Outdoor,4.5,-,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/86/42/bb/dharmikarama-burmese.jpg?w=1200&h=1200&s=1,1,30/10/2024 14:55,1
4,Sri Aruloli Thirumurugan Temple,"Sri Aruloli Thirumurugan, or better known as the Penang Hill Hindu Temple, is one of the oldest Hindu temples in Penang. It was set up in the 1800's as a small shrine to the Hindu deity Murugan (the deity associated with Thaip","usam) by the Indian sepoys and sedan chair carriers, and is located at a mount within Penang Hill called Gun Hill.
 
 The Dravidian style of constructing Hindu temples calls for four principal parts. The temple proper, or vimana, is the shrine with a tower, a mandapa, or porch, gopurams, or gate towers, and chawadis, or pillar halls. In addition, there would usually be a tank of water for use in sacred rituals or for cleansing.",5.433589,100.2961,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.9505556208073!2d100.26955389999999!3d5.4244835!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac26b3762dcd7%3A0x377c23e54ae511a3!2zU3JpIEFydWxvbGkgVGhpcnVtdXJ1Z2FuIEhpbmR1IFRlbXBsZSDgrrjgr43grrDgr4Ag4K6F4K6w4K-B4K6z4K-K4K6z4K6_IOCupOCuv-CusOCvgeCuruCvgeCusOCvgeCuleCuqeCvjSDgrobgrrLgrq_grq7gr40!5e0!3m2!1sen!2smy!4v1729918527703!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","11300, Penang Hill, Bukit Bendera, Penang","7:00 am –12:00 pm, 5:00 pm–9:00 pm","7:00 am –12:00 pm, 5:00 pm–9:00 pm","7:00 am –12:00 pm, 5:00 pm–9:00 pm","7:00 am –12:00 pm, 5:00 pm–9:00 pm","7:00 am –12:00 pm, 5:00 pm–9:00 pm","7:00 am –12:00 pm, 5:00 pm–9:00 pm","7:00 am –12:00 pm, 5:00 pm–9:00 pm",04-828 3904,Cultural Heritage,Free,Indoor&Outdoor,4.4,-,https://www.propertyhunter.com.my/transfer/190614165104Sri_Aruloli_Thirumurugan_Temple.jpg,1,31/10/2024 14:55,1
5,Suffolk House,"Penang Mansion Restaurant Suffolk House is a stunning example of an Anglo-Indian garden house and Malaysia's only surviving Georgian Mansion, originally built in the early 1800s. For decades Suffolk House had a glittering care","er as the home of successive British Governors. The winner of the 2008 Award of Distinction in the UNESCO Asia-Pacific Heritage Awards for Culture Heritage Conservation this extensively and passionately restored mansion is now a ""must visit"" destination for everyone who comes to the UNESCO World Heritage Site of George Town, Penang.",5.409127,100.3065,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.0401852326563!2d100.3054987!3d5.4108509!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3b556d93d95%3A0x9083a1e19603714!2sSuffolk%20House%20Restaurant!5e0!3m2!1sen!2smy!4v1729918548103!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","C864+845, 250, Jalan Air Itam, 10460 George Town, Pulau Pinang",11:00 am–5:00 pm,11:00 am–5:00 pm,11:00 am–5:00 pm,11:00 am–5:00 pm,11:00 am–5:00 pm,11:00 am–5:00 pm,11:00 am–5:00 pm,04-228 3930,Cultural Heritage,"Admission costs for Adult: RM20
Children (under 6 yrs old) & Children on school: Free",Indoor&Outdoor,4.9,-,http://travel2penang.files.wordpress.com/2011/08/suffolk04.jpg,1,1/11/2024 14:55,1
6,Masjid Bukit Bendera (Penang Hill Mosque),"Masjid Bukit Bendera, also known as Penang Hill Mosque, is a serene gem nestled atop Penang Hill, Malaysia. Perched at 830 meters above sea level, this stunning mosque offers not just a spiritual haven, but also breathtaking p","anoramic views of the island. Built in a contemporary Islamic architectural style, it blends harmoniously with its lush surroundings. The mosque serves as a tranquil retreat for visitors and worshippers alike, making it a unique spot to experience both faith and nature amidst the vibrant landscapes of Penang.",5.425005,100.2688,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.949408861255!2d100.268153!3d5.4246577!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac27b0faa54b5%3A0x55d50132c8188bae!2sMasjid%20Bukit%20Bendera!5e0!3m2!1sen!2smy!4v1729918587693!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","Masjid, Bukit Bendera, 10000 Bukit Bendera, Pulau Pinang",6:30 am–10:00 pm,6:30 am–10:00 pm,6:30 am–10:00 pm,6:30 am–10:00 pm,6:30 am–10:00 pm,6:30 am–10:00 pm,6:30 am–10:00 pm,04-828 8880,Cultural Heritage,Free,Indoor&Outdoor,4.5,-,https://media-cdn.tripadvisor.com/media/photo-s/0a/a0/d0/2f/masjid-bukit-bendera.jpg,1,2/11/2024 14:55,1
7,Penang Street Art,Penang Street Art is a vibrant canvas of creativity that transforms the streets of Georgetown into an Open-air gallery. This dynamic art scene features stunning murals and playful installations that reflect the island's rich c,"ulture and history. Artists, both local and international, have infused the city's walls with colorful narratives, capturing everything from everyday life to whimsical characters. As you stroll through the winding alleys, youâ€™ll discover captivating pieces that invite interaction and inspire exploration, making each turn a delightful surprise in this artistic urban landscape.",5.413704,100.3375,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3972.015583588106!2d100.3360671174438!3d5.4145962000000205!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac3926b8cc0f9%3A0xe76a8f58f4205b17!2sPenang%20Street%20Art!5e0!3m2!1sen!2smy!4v1729918612041!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","316, Beach St, Georgetown, 10300 George Town, Penang",Open,Open,Open,Open,Open,Open,Open,-,Cultural Heritage,Free,Outdoor,4.4,-, https://globaldebauchery.com/wp-content/uploads/2023/11/penang-street-art-siblings-on-a-swing.webp,1,3/11/2024 14:55,1
8,Snake Temple,"The Snake Temple, also known as the Temple of the Azure Cloud, is a captivating blend of spirituality and nature located in Penang. Established in the early 19th century, this unique temple is dedicated to Kuan Yin, the goddes","s of mercy, and is famous for its resident snakes, which are believed to be sacred. As you wander through the temple's tranquil grounds, you’ll encounter live pit vipers lounging among the incense-filled altars, creating a mesmerizing atmosphere of reverence and wonder. The architectural beauty of the temple, combined with its intriguing legends and the harmonious coexistence of humans and snakes, makes it a must-visit destination for those seeking a truly unique cultural experience in Penang.",5.3231271,100.2905197,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7945.341500867931!2d100.28120903488772!3d5.3139569!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac07375c07555%3A0x2c96f638400baaed!2sSnake%20Temple!5e0!3m2!1sen!2smy!4v1729918698236!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","10, Jalan Sultan Azlan Shah, Bandar Bayan Baru, 11900 Bayan Lepas, Pulau Pinang",9:00 am–5:30 pm,9:00 am–5:30 pm,9:00 am–5:30 pm,9:00 am–5:30 pm,9:00 am–5:30 pm,9:00 am–5:30 pm,9:00 am–5:30 pm,04-643 7273,Cultural Heritage,Free,Indoor&Outdoor,3.9,-,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZeJFUHnulImcy1NvdkeQ-i6hPfatwqjLFDA&s,1,6/11/2024 14:55,1
9,Chaiya Mangalaram Thai Buddhist Temple,"Chaiya Mangalaram Thai Buddhist Temple is a stunning architectural gem that offers a serene escape into Thai Buddhism right in the heart of Penang. Established in the late 19th century, this temple features intricate designs a","nd vibrant murals that showcase the rich cultural heritage of Thailand. One of its most striking highlights is the impressive reclining Buddha statue, which stretches an awe-inspiring 33 meters long, captivating visitors with its peaceful expression. The temple's tranquil gardens and peaceful ambiance provide a perfect backdrop for reflection and exploration, making Chaiya Mangalaram a must-visit for those looking to immerse themselves in the spiritual and artistic beauty of the region.",5.4324829,100.3157443,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.9029592925867!2d100.313829!3d5.431709!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac30784d99135%3A0x8beb290b17dadb0d!2sChaiya%20Mangalaram%20Thai%20Buddhist%20Temple!5e0!3m2!1sen!2smy!4v1729918716833!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","17, Lorong Burma, Pulau Tikus, 10250 George Town, Pulau Pinang",8:00 am–4:00 pm,8:00 am–4:00 pm,8:00 am–4:00 pm,8:00 am–4:00 pm,8:00 am–4:00 pm,8:00 am–4:00 pm,8:00 am–4:00 pm,04-226 8503,Cultural Heritage,Free,Indoor&Outdoor,4.5,-,https://cdn.forevervacation.com/uploads/attraction/chaiya-mangalaram-thai-buddhist-temple-3340.jpg,1,7/11/2024 14:55,1
10,Nagore Square,"Nagore Square is a vibrant cultural enclave that showcases Penang's Indian Muslim heritage. Named after the town of Nagore in Tamil Nadu, India, the area is filled with old shophouses that date back over a century. Once bustli","ng with merchants, today Nagore Square is a lively district blending history with modernity. Traditional Indian Muslim restaurants, quaint shops, and beautifully restored buildings offer a taste of Penang’s multicultural fabric. The square is a melting pot where ancient trade routes, religious practices, and culinary traditions come together, embodying the spirit of the Indian Muslim community that has shaped Penang’s identity.",5.4164733,100.3228481,"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3971.971853524173!2d100.3261826!3d5.4212472!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x304ac36024195f23%3A0x406fb12d22b8930c!2sNagore%20Square!5e0!3m2!1sen!2smy!4v1729918749976!5m2!1sen!2smy"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade","Jalan Nagor, 10400 George Town, Pulau Pinang",Open,Open,Open,Open,Open,Open,Open,012-428 0881,Cultural Heritage,Free,Outdoor ,4.2,-,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/62/bf/d0/a-beautifully-restored.jpg?w=1200&h=1200&s=1,1,8/11/2024 14:55,1
